Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
electric-neck-massager-pulse-back-6-modes-power-control-far-infrared-heating-pain-relief-tool-health-care-relaxation-machine,Electric Neck Massager & Pulse Back 6 Modes Power Control Far Infrared Heating Pain Relief Tool Health Care Relaxation Machine,<p><span><strong>Brand Name:</strong> NoEnName_Null</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Model Number:</strong> Electric Neck Massager 012</span><br><span><strong>Size:</strong> Multi Size SML</span><br><span><strong>Material:</strong> Composite Material</span><br><span><strong>Application:</strong> NECK</span><br><span><strong>Item Type:</strong> Massage &amp; Relaxation</span><br><span><strong>Feature-1:</strong> Massage the neck</span><br><span><strong>Feature-2:</strong> Relieve neck pain</span><br><span><strong>Feature-3:</strong> Promote blood pressure circulation in the neck</span><br><span><strong>Feature-4:</strong> Health Care Relaxation</span><br><span><strong>Feature-5:</strong> 6 different massage modes</span><br><span><strong>Feature-6:</strong> 16 Levels Power</span><br><span><strong>Works:</strong> 2 PCS AAA battery</span><br><span><strong>Single working time:</strong> 15 minutes</span><br><span><strong>Suggestion:</strong> 1 time everyday</span><br><span><strong>Tips:</strong> Please remember to switch off after use</span></p>,Dawn Liquid ,,,"",true,Ships From,China,Color,With Patches,,,30068631-china-with-patches,0.0,shopify,deny,oberlo,1662.36,1662.36,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818228.jpg?v=1633070277,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818235.jpg?v=1633070278,kg,,,active
electric-neck-massager-pulse-back-6-modes-power-control-far-infrared-heating-pain-relief-tool-health-care-relaxation-machine,,,,,,,,,Poland,,With Patches,,,30068631-poland-with-patches,0.0,shopify,deny,oberlo,1883.42,1883.42,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818234.jpg?v=1633070277,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818235.jpg?v=1633070278,kg,,,
electric-neck-massager-pulse-back-6-modes-power-control-far-infrared-heating-pain-relief-tool-health-care-relaxation-machine,,,,,,,,,China,,Without Patch,,,30068631-china-without-patch,0.0,shopify,deny,oberlo,1633.22,1633.22,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818235.jpg?v=1633070278,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818234.jpg?v=1633070277,kg,,,
electric-neck-massager-pulse-back-6-modes-power-control-far-infrared-heating-pain-relief-tool-health-care-relaxation-machine,,,,,,,,,Poland,,Without Patch,,,30068631-poland-without-patch,0.0,shopify,deny,oberlo,1883.42,1883.42,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818234.jpg?v=1633070277,kg,,,
electric-neck-massager-pulse-back-6-modes-power-control-far-infrared-heating-pain-relief-tool-health-care-relaxation-machine,,,,,,,,,SPAIN,,Without Patch,,,30068631-spain-without-patch,0.0,shopify,deny,oberlo,1897.14,1897.14,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818234.jpg?v=1633070277,kg,,,
electric-neck-massager-pulse-back-6-modes-power-control-far-infrared-heating-pain-relief-tool-health-care-relaxation-machine,,,,,,,,,SPAIN,,With Patches,,,30068631-spain-with-patches,0.0,shopify,deny,oberlo,1969.12,1969.12,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1648818235.jpg?v=1633070278,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,Baby Knee Pad,<p><span><strong>Brand Name:</strong> Lovyno</span><br><span><strong>Material:</strong> COTTON</span><br><span><strong>Material:</strong> Polyester</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Season:</strong> Four Seasons</span><br><span><strong>Age Range:</strong> 0-6m</span><br><span><strong>Age Range:</strong> 7-12m</span><br><span><strong>Age Range:</strong> 13-24m</span><br><span><strong>Gender:</strong> baby unisex</span><br><span><strong>Department Name:</strong> Baby</span><br><span><strong>Item Type:</strong> Leg Warmers</span><br><span><strong>Model Number:</strong> L-8010</span><br><span><strong>Material Composition:</strong> Cotton</span><br><span><strong>Style:</strong> Casual</span><br><span><strong>Pattern Type:</strong> Solid</span></p>,Dawn Liquid ,,,"",true,Color,deep blue,,,,,22898879-deep-blue,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261750.jpg?v=1633070283,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261769.jpg?v=1633070283,kg,,,active
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,Pink,,,,,22898879-pink,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261774.jpg?v=1633070283,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261773.jpg?v=1633070287,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,green,,,,,22898879-green,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261769.jpg?v=1633070283,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261772.jpg?v=1633070283,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,light gray,,,,,22898879-light-gray,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261771.jpg?v=1633070283,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261770.jpg?v=1633070283,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,Dark Grey,,,,,22898879-dark-grey,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261772.jpg?v=1633070283,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261771.jpg?v=1633070283,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,Yellow,,,,,22898879-yellow,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261770.jpg?v=1633070283,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261777.jpg?v=1633070285,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,blue,,,,,22898879-blue,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261776.jpg?v=1633070284,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261778.jpg?v=1633070286,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,pink,,,,,22898879-pink,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261777.jpg?v=1633070285,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261775.jpg?v=1633070288,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,skin colour,,,,,22898879-skin-colour,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261778.jpg?v=1633070286,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261776.jpg?v=1633070284,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,green 2,,,,,22898879-green-2,0.0,shopify,deny,oberlo,431.86,431.86,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261773.jpg?v=1633070287,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261774.jpg?v=1633070283,kg,,,
1-pair-baby-knee-pad-kids-safety-crawling-elbow-cushion-infant-toddlers-baby-leg-warmer-knee-support-protector-baby-kneecap,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1808261775.jpg?v=1633070288,11,,,,,,,,,,,,,,,,,,,,,,
1pcs-earrings-jewelry-fashion-personality-metal-ear-clip-leaf-tassel-earrings-for-women-gift-pendientes-ear-cuff-caught-in-cuffs,Leaf Tassel Earrings For Women,"<p><span><strong>Brand Name:</strong> qiaoyue</span><br><span><strong>Metals Type:</strong> Zinc Alloy</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Shape\pattern:</strong> PLANT</span><br><span><strong>Gender:</strong> Women</span><br><span><strong>Fine or Fashion:</strong> Fashion</span><br><span><strong>Style:</strong> Bohemia</span><br><span><strong>Material:</strong> Metal</span><br><span><strong>Earring Type:</strong> Clip Earrings</span><br><span><strong>Item Type:</strong> Earrings</span><br><span><strong>Model Number:</strong> silver earrings</span><br><span><strong>Style:</strong> Europe And America</span><br><span><strong>Texture Of Material:</strong> Alloy</span><br><span><strong>Modelling:</strong> Leaf</span><br><span><strong>Colour:</strong> Silver, Gold</span><br><span><strong>Type:</strong> Stud  Earrings</span><br><span><strong>earrings:</strong> ear cuff earrings</span><br><span><strong>ear cuff:</strong> clip earrings</span><br><span><strong>clip on earrings:</strong> women</span><br><span><strong>earrings for women:</strong> boucles doreille rock punk</span><br><span><strong>brincos:</strong> boucle doreille clip</span></p>",Dawn Liquid ,,,"",true,Metal Color,Gold,,,,,26165707-gold,0.0,shopify,deny,oberlo,70.26,70.26,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1431745214.jpg?v=1633188623,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1431745214.jpg?v=1633188623,kg,,,active
1pcs-earrings-jewelry-fashion-personality-metal-ear-clip-leaf-tassel-earrings-for-women-gift-pendientes-ear-cuff-caught-in-cuffs,,,,,,,,,silver,,,,,26165707-silver,0.0,shopify,deny,oberlo,70.26,70.26,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1431745215.jpg?v=1633188623,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1431745215.jpg?v=1633188623,kg,,,
1pcs-earrings-jewelry-fashion-personality-metal-ear-clip-leaf-tassel-earrings-for-women-gift-pendientes-ear-cuff-caught-in-cuffs,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1431745210.jpg?v=1633188623,3,,,,,,,,,,,,,,,,,,,,,,
lige-top-brand-luxury-fashion-diver-watch-men-30atm-waterproof-date-clock-sport-watches-mens-quartz-wristwatch-relogio-masculino,Men Luxury Fashion Diver Watch,<p><span><strong>Brand Name:</strong> LIGE</span><br><span><strong>Band Length:</strong> 22cm</span><br><span><strong>Style:</strong> Fashion &amp; Casual</span><br><span><strong>Movement:</strong> QUARTZ</span><br><span><strong>Certification:</strong> NONE</span><br><span><strong>Water Resistance Depth:</strong> 3Bar</span><br><span><strong>Clasp Type:</strong> Push Button Hidden Clasp</span><br><span><strong>Origin:</strong> CN(Origin)</span><br><span><strong>Case Material:</strong> Stainless Steel</span><br><span><strong>Case Thickness:</strong> 12mm</span><br><span><strong>Dial Window Material Type:</strong> Hardlex</span><br><span><strong>Item Type:</strong> Quartz Wristwatches</span><br><span><strong>Boxes &amp; Cases Material:</strong> Paper</span><br><span><strong>Band Material Type:</strong> Stainless Steel</span><br><span><strong>Dial Diameter:</strong> 42mm</span><br><span><strong>Model Number:</strong> LIGE 10045</span><br><span><strong>Band Width:</strong> 20mm</span><br><span><strong>Case Shape:</strong> Round</span><br><span><strong>Feature:</strong> Shock Resistant</span><br><span><strong>Feature:</strong> Luminous</span><br><span><strong>Feature:</strong> Auto Date</span><br><span><strong>Feature:</strong> Complete Calendar</span><br><span><strong>Feature:</strong> Diver</span><br><span><strong>Feature:</strong> Water Resistant</span><br><span><strong>Feature:</strong> Swim</span><br><span><strong>Feature:</strong> luminous hands</span><br><span><strong>2021 men watch:</strong> LIGE watch men</span><br><span><strong>Diver watch:</strong> watch Diver</span><br><span><strong>Luminous watch:</strong> waterproof watch</span><br><span><strong>watch for men:</strong> lige watch</span><br><span><strong>lige:</strong> original brand</span><br><span><strong>sport watch men:</strong> men sports watches</span><br><span><strong>luxury watch men:</strong> watches</span><br><span><strong>relogio masculino:</strong> Quartz Watch</span><br><span><strong>Men watches:</strong> watches watch</span><br><span><strong>watch:</strong> mens watch</span><br><span><strong>men sports watches:</strong> Quartz Watch</span><br><span><strong>military watches men:</strong> sport watch men</span><br><span><strong>Men sport watch:</strong> man watch</span><br><span><strong>wristwatche:</strong> watch luxury</span><br><span><strong>Sport Watch:</strong> clock watch</span><br><span><strong>mens wristwatch:</strong> brand watch men</span><br><span><strong>male watch:</strong> men chronograph</span><br><span><strong>watch top brand:</strong> watches mens 2020</span><br><span><strong>Men watches top brand luxury:</strong> luxury watch men</span><br><span><strong>watches for men:</strong> waterproof watch men</span><br><span><strong>casual fashion watch:</strong> reloj hombre</span></p>,Dawn Liquid ,,,"",true,Color,Rose gold black,Ships From,SPAIN,,,39586630-rose-gold-black-spain,0.0,shopify,deny,oberlo,4469.36,4469.36,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254446.jpg?v=1633188271,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254445.jpg?v=1633188271,kg,,,active
lige-top-brand-luxury-fashion-diver-watch-men-30atm-waterproof-date-clock-sport-watches-mens-quartz-wristwatch-relogio-masculino,,,,,,,,,Silver black,,China,,,39586630-silver-black-china,0.0,shopify,deny,oberlo,4469.36,4469.36,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254444.jpg?v=1633188271,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254446.jpg?v=1633188271,kg,,,
lige-top-brand-luxury-fashion-diver-watch-men-30atm-waterproof-date-clock-sport-watches-mens-quartz-wristwatch-relogio-masculino,,,,,,,,,Rose gold black,,China,,,39586630-rose-gold-black-china,0.0,shopify,deny,oberlo,4469.36,4469.36,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254448.jpg?v=1633188271,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254445.jpg?v=1633188271,kg,,,
lige-top-brand-luxury-fashion-diver-watch-men-30atm-waterproof-date-clock-sport-watches-mens-quartz-wristwatch-relogio-masculino,,,,,,,,,Rose gold black,,Russian Federation,,,39586630-rose-gold-black-russian-federation,0.0,shopify,deny,oberlo,4392.26,4392.26,true,false,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254445.jpg?v=1633188271,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0676/2653/products/product-image-1839254445.jpg?v=1633188271,kg,,,
